hours_since_cooking,initial_hours_at_room_temp,storage_location,cooling_method,observed_smell,observed_appearance,Spoilage_Index
26,26,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
10,10,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
35,35,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
70,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
31,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
22,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
24,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
63,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
38,38,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
66,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
58,58,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
55,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
2,2,Room Temperature,Not Applicable,Normal,Normal/Glossy,0
66,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
33,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
32,32,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
72,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
48,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
76,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
9,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
23,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
31,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
77,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
22,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
65,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
27,27,Room Temperature,Not Applicable,Normal,Dull/Dry,2
52,52,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
75,75,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
59,59,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
5,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
27,27,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
1,0,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
3,0,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
83,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
24,5,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
24,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
16,16,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
42,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
26,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,2
18,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
4,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
88,88,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
54,5,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
2,2,Room Temperature,Not Applicable,Normal,Normal/Glossy,0
11,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
96,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
86,86,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
28,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,2
21,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
35,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
16,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
96,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
71,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
15,15,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
74,74,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
88,88,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
96,96,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
17,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
54,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
60,60,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
19,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
4,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
75,75,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
57,57,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
72,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
24,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
51,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
77,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,2
40,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
45,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
25,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
6,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
39,5,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
10,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
13,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
27,27,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
50,50,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
62,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
39,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
27,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
46,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
22,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
14,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
84,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
65,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
94,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
20,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
17,17,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
74,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
69,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
48,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
6,6,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
21,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
82,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
82,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
30,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
31,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
17,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
44,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
90,90,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
28,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
55,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
33,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
29,29,Room Temperature,Not Applicable,Normal,Dull/Dry,2
13,13,Room Temperature,Not Applicable,Normal,Dull/Dry,2
86,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
66,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
15,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
37,37,Room Temperature,Not Applicable,Normal,Dull/Dry,2
59,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
29,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
68,68,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
77,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
52,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
14,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
12,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
26,26,Room Temperature,Not Applicable,Normal,Dull/Dry,2
95,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
71,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
53,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
40,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
36,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
4,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
4,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
42,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
71,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
70,70,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
16,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
38,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
77,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,2
48,48,Room Temperature,Not Applicable,Normal,Dull/Dry,2
73,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
62,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
91,91,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
35,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
44,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
45,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
43,43,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
11,5,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
92,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
32,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
84,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
22,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
55,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
77,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
65,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
12,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
85,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
81,5,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
82,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
10,10,Room Temperature,Not Applicable,Normal,Dull/Dry,2
21,21,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
71,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
12,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
12,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
10,10,Room Temperature,Not Applicable,Normal,Dull/Dry,2
24,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
54,54,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
33,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
5,5,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
49,49,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
84,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
93,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
36,36,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
80,80,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
20,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
40,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
6,5,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
70,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
58,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
51,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
95,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
33,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
39,39,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
15,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
71,71,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
90,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
44,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
8,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
49,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
50,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
69,69,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
9,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
50,50,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
85,85,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
7,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
43,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
82,82,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
1,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
78,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
74,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
47,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
16,16,Room Temperature,Not Applicable,Normal,Dull/Dry,2
61,5,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
60,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
89,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
53,53,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
85,85,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
79,79,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
14,14,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
27,27,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
11,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
80,80,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
87,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
90,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
79,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
50,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
79,79,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
1,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
92,92,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
30,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
5,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
72,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
95,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
91,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
65,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
28,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
89,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
28,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
41,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
29,29,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
79,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
74,74,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
37,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
93,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
22,22,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
77,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
79,79,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
40,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
38,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
52,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
45,45,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
4,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
89,89,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
18,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
35,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
68,68,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
22,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
4,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
50,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
37,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
78,78,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
6,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
29,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
32,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
83,83,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
23,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
60,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
38,38,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
37,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
73,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
68,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
43,43,Room Temperature,Not Applicable,Normal,Dull/Dry,2
74,74,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
46,46,Room Temperature,Not Applicable,Normal,Dull/Dry,2
39,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
56,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
48,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
37,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
3,3,Room Temperature,Not Applicable,Normal,Normal/Glossy,0
19,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
5,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
87,5,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
57,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
54,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
38,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
93,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
23,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
50,50,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
34,5,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
10,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
95,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
80,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
17,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
90,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
13,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
69,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
47,47,Room Temperature,Not Applicable,Normal,Dull/Dry,2
68,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
27,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
57,57,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
63,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
23,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
91,91,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
44,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
40,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
2,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
